_id,_sampledSeconds,_traveltime,_overlapTraveltime,_density,_laneDensity,_occupancy,_waitingTime,_timeLoss,_speed,_departed,_arrived,_entered,_left,_laneChangedFrom,_laneChangedTo,_vaporized
-131841393#1,36.86,1.80,2.32,0.15,0.15,0.06,0.00,3.45,11.58,0,4,16,12,0,0,
-131841393#10,849.59,1.29,1.93,6.88,6.88,2.38,5.00,202.49,8.40,6,9,437,434,0,0,
-131841393#11,4884.30,10.52,11.06,3.35,3.35,1.61,63.00,481.21,12.44,7,5,435,437,0,0,
-131841393#12,4195.23,7.33,7.83,4.01,4.01,1.89,5.00,265.73,12.80,4,7,532,529,0,0,
-131841393#13,3454.94,6.10,6.48,3.87,3.87,1.82,0.00,128.61,13.30,8,2,526,532,0,0,
-131841393#2,1262.76,5.92,6.76,1.72,1.72,0.79,0.00,232.13,10.59,3,3,184,184,0,0,
-131841393#4,218.78,0.64,1.06,2.56,2.56,0.79,0.00,18.42,12.07,5,5,204,204,0,0,
-131841393#5,877.84,3.88,4.27,1.60,1.60,0.73,0.00,54.81,12.82,4,2,202,204,0,0,
-131841393#6,422.84,1.68,2.07,1.81,1.81,0.74,0.00,30.53,12.70,6,4,200,202,0,0,
-131841393#8,877.62,3.55,3.94,1.73,1.73,0.78,0.00,47.54,12.94,4,6,219,217,0,0,
-131841393#9,1268.26,5.34,5.72,1.69,1.69,0.79,0.00,84.29,12.79,3,3,219,219,0,0,
-131849152#1,2600.30,2.52,3.20,10.84,10.84,4.49,37.00,943.61,8.37,3,3,810,810,0,0,
-131849152#2,3074.43,3.32,3.76,7.02,7.02,3.09,0.00,422.96,11.91,6,8,812,810,0,0,
-131849152#3,2436.04,2.54,2.98,10.05,10.05,4.04,0.00,837.84,9.06,3,5,814,812,0,0,
-131876456#0,214.31,3.72,4.47,0.85,0.85,0.36,0.00,46.43,6.24,6,3,43,46,0,0,
-131876456#1,574.11,17.39,18.11,0.41,0.41,0.19,0.00,63.42,7.39,5,7,27,25,0,0,
-131876456#2,143.20,3.69,4.93,0.61,0.61,0.25,0.00,42.73,5.34,4,3,26,27,0,0,
-131876457#0,890.30,8.33,9.18,1.32,1.32,0.61,0.00,88.13,7.23,0,2,97,95,0,0,
-131876457#1,841.60,13.34,14.09,0.74,0.74,0.35,3.00,72.82,7.66,3,6,57,54,0,0,
-131876457#2,281.65,6.65,7.33,0.53,0.53,0.24,0.00,34.35,7.32,6,3,33,36,0,0,
-131876457#3,557.20,11.53,12.22,0.57,0.57,0.27,0.00,46.14,7.71,7,2,39,44,0,0,
-131876457#4,295.11,3.86,4.56,1.05,1.05,0.45,0.00,58.22,6.70,6,5,60,61,0,0,
-131876457#5,941.06,14.30,14.99,0.77,0.77,0.37,0.00,65.15,7.77,4,3,59,60,0,0,
-131876459#0,178.98,7.23,7.94,0.33,0.33,0.15,0.00,29.52,6.85,5,0,18,23,0,0,
-131876459#1,260.12,14.04,14.72,0.23,0.23,0.11,0.00,31.52,7.26,7,0,11,18,0,0,
-131876459#2,10.87,,2.08,1.32,1.32,0.09,0.00,7.24,2.76,6,0,0,6,0,0,
-131876460#0,152.74,4.25,5.05,0.49,0.49,0.21,0.00,28.00,6.57,3,3,28,28,0,0,
-131876460#1,74.40,2.63,3.32,0.39,0.39,0.16,0.00,13.53,6.79,1,3,22,20,0,0,
-131876460#2,349.52,17.03,17.71,0.24,0.24,0.12,0.00,26.62,7.65,5,5,15,15,0,0,
-131876897#0,251.94,14.41,15.10,0.21,0.21,0.10,0.00,27.88,7.60,7,0,10,17,0,0,
-131876897#1,234.33,33.41,34.13,0.08,0.08,0.04,0.00,23.53,7.78,7,0,0,7,0,0,
-131881078#0,3923.01,4.60,4.97,5.80,5.80,2.68,0.00,141.91,13.37,4,4,785,785,0,0,
-131881078#1,5703.05,6.85,7.22,6.41,6.41,2.98,0.00,817.84,11.89,5,5,785,785,0,0,
-137575290,26.30,8.74,9.56,0.04,0.04,0.02,0.00,13.68,6.46,3,0,0,3,0,0,
-141134406#0,88.35,0.05,0.97,20.59,20.59,0.75,0.00,29.04,5.54,8,9,85,84,0,0,
-141134406#1,199.49,1.59,2.31,2.07,2.07,0.67,0.00,55.57,5.96,5,7,84,82,0,0,
-141134411,16.43,4.61,5.45,0.10,0.10,0.04,0.00,7.24,3.80,4,0,0,4,0,0,
-143231128#0,180.74,1.81,2.65,1.51,1.51,0.53,0.00,32.85,6.00,3,4,67,66,0,0,
-143231128#1,81.13,0.64,1.40,2.02,2.02,0.42,0.00,20.80,6.20,1,8,59,52,0,0,
-143231128#2,230.20,3.03,3.93,1.33,1.33,0.50,0.00,64.63,5.28,5,5,55,55,0,0,
-143231128#3,73.16,0.04,1.26,33.26,33.26,0.64,0.00,33.27,4.14,4,4,55,55,0,0,
-146581704#0,8.14,1.02,1.40,0.06,0.06,0.02,0.00,0.17,13.14,0,6,6,0,0,0,
-146581704#1,67.70,5.23,5.64,0.11,0.11,0.05,0.00,13.65,10.75,0,5,12,7,0,0,
-146581704#2,46.02,2.41,3.10,0.16,0.16,0.06,0.00,9.29,10.29,0,3,15,12,0,0,
-146581704#3,7.46,0.02,0.45,3.39,3.39,0.07,0.00,1.16,11.58,0,3,18,15,0,0,
-146581705,6.23,6.23,6.70,0.01,0.01,0.00,0.00,0.89,10.65,0,1,1,0,0,0,
-150609960#1,50.06,12.60,13.31,0.06,0.06,0.03,0.00,10.45,6.41,4,0,0,4,0,0,
-151310489#0,92.00,9.73,10.34,0.10,0.10,0.05,0.00,3.79,8.21,0,9,9,0,0,0,
-151310489#1,33.79,4.11,4.74,0.24,0.24,0.10,0.00,15.82,3.76,10,0,0,10,0,0,
-151313881,102.67,12.97,13.56,0.10,0.10,0.05,0.00,21.27,6.99,8,0,0,8,0,0,
-151313900#0,2.92,0.58,0.96,0.03,0.03,0.01,0.00,0.07,13.42,0,4,4,0,0,0,
-151313900#1,121.47,5.04,5.58,0.18,0.18,0.08,0.00,11.62,11.72,0,11,22,11,0,0,
-151313900#2,64.54,1.98,2.60,0.53,0.53,0.18,0.00,34.22,6.20,0,2,25,23,0,0,
-151313900#3,235.04,7.08,8.13,0.33,0.33,0.15,0.00,79.53,8.63,1,4,28,25,0,0,
-159546069#0,233.96,9.55,10.27,0.30,0.30,0.14,0.00,22.71,7.46,3,3,20,20,0,0,
-159546069#1,146.02,8.83,9.53,0.21,0.21,0.10,0.00,19.81,7.13,6,7,10,9,0,0,
-159587729#0,143.30,6.51,7.19,0.25,0.25,0.11,0.00,8.85,7.95,0,9,20,11,0,0,
-159587729#1,284.85,3.81,4.54,0.99,0.99,0.42,0.00,43.93,6.87,6,6,58,58,0,0,
-159587729#2,616.82,7.48,8.20,1.04,1.04,0.48,0.00,83.78,7.19,8,3,68,73,0,0,
-159587729#3,371.41,4.55,5.24,1.07,1.07,0.47,0.00,57.96,7.01,6,4,66,68,0,0,
-159587729#4,445.89,3.73,4.48,1.63,1.63,0.69,1.00,80.66,6.66,7,4,94,97,0,0,
-159587729#6,646.17,3.36,4.14,2.79,2.79,1.16,12.00,157.49,6.29,5,3,152,154,0,0,
-159587729#7,226.99,0.60,1.38,6.25,6.25,1.23,0.00,59.71,6.03,5,5,162,162,0,0,
-159587729#8,565.57,2.35,3.12,3.50,3.50,1.36,7.00,136.02,6.31,5,7,178,176,0,0,
-159587729#9,884.90,3.76,4.50,3.17,3.17,1.35,7.00,166.99,6.75,7,5,191,193,0,0,
-159589367,40.17,4.92,5.06,1.04,1.04,0.30,20.00,33.75,1.68,5,0,5,10,0,0,
-160671720#0,748.96,6.64,7.33,1.40,1.40,0.64,0.00,81.78,7.30,7,9,96,94,0,0,
-160671720#1,753.39,7.32,7.96,1.20,1.20,0.55,0.00,36.28,7.80,3,3,92,92,0,0,
-160671720#2,97.42,2.22,2.95,0.70,0.70,0.27,0.00,26.92,5.99,8,8,28,28,0,0,
-160671720#3,148.90,13.23,13.92,0.14,0.14,0.07,0.00,18.94,7.18,6,0,5,11,0,0,
-160671720#4,35.26,7.39,7.96,0.08,0.08,0.04,0.00,11.50,5.64,5,0,0,5,0,0,
-160833412,682.87,16.50,17.20,0.49,0.49,0.24,0.00,50.44,7.66,7,7,33,33,0,0,
-160839836,49.16,9.95,10.68,0.08,0.08,0.04,0.00,12.78,6.02,5,0,0,5,0,0,
-160839871#0,7.26,2.05,2.42,0.02,0.02,0.01,0.00,0.16,13.26,0,3,3,0,0,0,
-160839871#1,39.02,4.03,4.40,0.07,0.07,0.03,0.00,1.06,13.29,0,6,9,3,0,0,
-160839871#2,44.56,0.88,1.54,0.52,0.52,0.16,0.00,7.63,8.28,2,4,28,26,0,0,
-160839871#3,293.40,8.74,9.22,0.24,0.24,0.12,0.00,27.85,12.46,4,4,28,28,0,0,
-160954793,35.60,7.34,8.10,0.09,0.09,0.04,0.00,12.94,5.20,5,0,0,5,0,0,
-160954800,50.19,8.22,9.24,0.09,0.09,0.04,0.00,24.35,5.83,6,0,0,6,0,0,
-161254538,78.25,9.65,10.79,0.14,0.14,0.07,1.00,29.41,5.05,8,0,0,8,0,0,
-161382758,90.54,9.18,9.95,0.16,0.16,0.08,0.00,25.88,5.71,10,0,0,10,0,0,
-161387380,58.31,9.72,10.42,0.08,0.08,0.04,0.00,27.14,7.24,6,0,0,6,0,0,
-161466421#0,517.87,3.86,4.62,1.59,1.59,0.69,12.00,220.71,7.48,6,0,107,113,0,0,
-161479319#0,96.07,13.33,14.01,0.06,0.06,0.03,0.00,22.08,10.11,4,0,3,7,0,0,
-161479319#1,55.83,18.71,19.07,0.02,0.02,0.01,0.00,10.87,11.11,3,0,0,3,0,0,
-161566738#0,26.00,0.46,1.60,0.89,0.89,0.17,0.00,8.98,4.80,5,0,13,18,0,0,
-161566738#1,19.75,6.78,7.63,0.06,0.06,0.03,0.00,10.53,4.87,3,0,0,3,0,0,
