_id,_sampledSeconds,_traveltime,_overlapTraveltime,_density,_laneDensity,_occupancy,_waitingTime,_timeLoss,_speed,_departed,_arrived,_entered,_left,_laneChangedFrom,_laneChangedTo,_vaporized
-208654765#2,898.70,2.12,2.49,2.97,2.97,1.26,0.00,47.16,13.03,4,4,357,357,0,0,
-208654765#3,1021.26,2.43,2.81,3.10,3.10,1.33,0.00,96.13,12.43,7,8,358,357,0,0,
-208654765#4,221.91,0.14,0.62,13.63,13.63,1.56,0.00,50.50,10.38,3,6,354,351,0,0,
-208856139,0.00,,,,,,,,,0,0,0,0,0,0,
-208856140,0.00,,,,,,,,,0,0,0,0,0,0,
-209118368#0,0.00,,,,,,,,,0,0,0,0,0,0,
-209118368#1,0.00,,,,,,,,,0,0,0,0,0,0,
-209118368#2,0.00,,,,,,,,,0,0,0,0,0,0,
-209118368#3,0.00,,,,,,,,,0,0,0,0,0,0,
-209603948#0,7.96,1.66,2.30,0.06,0.06,0.02,0.00,0.54,7.70,0,4,4,0,0,0,
-209603948#1,6.33,,3.18,0.23,0.23,0.05,0.00,4.28,2.37,3,0,0,3,0,0,
-209603949,18.81,0.04,1.60,8.55,8.55,0.17,0.00,8.60,3.24,7,0,5,12,0,0,
-209603950,0.00,,,,,,,,,0,0,0,0,0,0,
-209718613,0.00,,,,,,,,,0,0,0,0,0,0,
-209956241,264.35,43.64,44.26,0.07,0.07,0.03,0.00,5.35,8.00,0,6,6,0,0,0,
-210156209,280.36,9.82,10.51,0.35,0.35,0.17,0.00,34.38,7.33,5,0,22,27,0,0,
-210163889,69.73,11.50,14.69,0.07,0.07,0.03,8.00,33.35,6.88,5,0,0,5,0,0,
-210669068,0.00,,,,,,,,,0,0,0,0,0,0,
-210669069,0.00,,,,,,,,,0,0,0,0,0,0,
-210669768#0,678.91,28.96,29.65,0.27,0.27,0.13,0.00,41.13,7.95,3,5,20,18,0,0,
-210669768#1,264.77,7.24,7.95,0.45,0.45,0.21,0.00,34.12,7.40,5,8,29,26,0,0,
-210669768#2,101.04,2.12,2.87,0.70,0.70,0.27,0.00,25.10,6.31,2,3,34,33,0,0,
-210669768#3,165.13,6.17,6.94,0.36,0.36,0.16,2.00,28.34,6.74,2,0,22,24,0,0,
-210669768#4,164.97,8.21,8.92,0.27,0.27,0.12,0.00,27.14,6.85,6,0,13,19,0,0,
-210669768#5,34.98,6.26,6.90,0.11,0.11,0.05,0.00,14.33,4.78,6,0,0,6,0,0,
-218177243,0.00,,,,,,,,,0,0,0,0,0,0,
-218185019,323.34,28.83,29.64,0.13,0.13,0.06,0.00,13.76,7.81,0,7,11,4,0,0,
-218188511,0.00,,,,,,,,,0,0,0,0,0,0,
-218188512,0.00,,,,,,,,,0,0,0,0,0,0,
-218345859,0.00,,,,,,,,,0,0,0,0,0,0,
-218396661#0,23.80,1.91,2.63,0.20,0.20,0.07,0.00,5.57,6.04,3,0,7,10,0,0,
-218396661#1,90.16,13.00,13.65,0.10,0.10,0.05,0.00,15.77,6.60,7,0,0,7,0,0,
-218396748,0.00,,,,,,,,,0,0,0,0,0,0,
-218396750,0.00,,,,,,,,,0,0,0,0,0,0,
-218672448#0,16.83,3.64,4.22,0.05,0.05,0.02,0.00,0.39,8.52,0,4,4,0,0,0,
-218672448#1,222.59,10.49,11.18,0.25,0.25,0.12,0.00,20.56,7.63,0,3,20,17,0,0,
-218674410,0.00,,,,,,,,,0,0,0,0,0,0,
-226076436#0,2369.52,30.92,31.69,0.89,0.89,0.44,6.00,146.74,7.79,7,8,68,67,0,0,
-226076436#1,903.92,10.20,10.91,1.06,1.06,0.50,0.00,79.29,7.57,1,5,82,78,0,0,
-22762648#0,5287.79,16.38,17.30,28.31,28.31,13.04,3798.00,4482.05,1.27,6,3,301,304,0,0,
-22762648#10,1334.36,18.18,18.88,0.86,0.86,0.41,1.00,95.03,7.78,8,4,63,67,0,0,
-22762648#2,1086.33,2.65,3.60,4.90,4.90,1.94,65.00,165.86,7.00,4,2,299,301,0,0,
-22762648#3,1045.42,2.73,3.37,4.62,4.62,1.85,0.00,85.63,7.58,2,12,309,299,0,0,
-22762648#4,5149.57,15.51,16.21,3.95,3.95,1.90,0.00,401.81,7.61,5,9,313,309,0,0,
-22762648#5,2206.61,8.27,9.03,3.43,3.43,1.58,48.00,335.06,7.03,6,7,239,238,0,0,
-22762648#6,2391.62,6.51,7.35,4.91,4.91,2.21,66.00,423.83,6.71,4,1,322,325,0,0,
-22762648#7,6249.37,18.96,19.66,3.89,3.89,1.88,0.00,468.37,7.68,4,5,314,313,0,0,
-22762648#8,2317.11,7.66,8.38,3.76,3.76,1.73,7.00,288.73,7.28,6,6,271,271,0,0,
-22762648#9,1434.19,9.44,10.14,1.85,1.85,0.86,0.00,146.43,7.44,7,5,135,137,0,0,
-22762690#1,624.39,36.25,37.54,1.12,1.12,0.55,475.00,552.12,1.49,4,0,13,17,0,0,
-23453287#0,3865.11,5.95,6.76,70.56,70.56,25.99,2807.00,3247.30,1.48,5,5,571,571,0,0,
-23453287#1,7073.25,11.54,12.25,11.45,11.45,5.48,2920.00,4509.76,4.99,3,6,575,572,0,0,
-23453287#11,9870.53,19.22,20.02,24.50,24.50,11.87,6576.00,8356.32,2.08,5,4,490,491,0,0,
-23453287#2,1724.31,2.47,2.90,5.00,5.00,2.16,8.00,152.05,12.53,3,5,592,590,0,0,
-23453287#3,1405.42,1.98,2.36,4.94,4.94,2.07,0.00,76.88,13.06,6,4,590,592,0,0,
-23453287#4,1168.47,1.60,1.98,5.10,5.10,2.06,0.00,61.80,13.06,5,5,587,587,0,0,
-23453287#5,891.40,1.14,1.52,5.47,5.47,2.05,0.00,47.04,13.07,5,3,585,587,0,0,
-23453287#6,1831.45,2.74,3.12,4.64,4.64,2.04,0.00,93.20,13.11,8,3,580,585,0,0,
-23453287#7,1913.80,2.87,3.25,4.62,4.62,2.04,0.00,97.63,13.12,7,11,583,579,0,0,
-23453287#8,2168.22,3.32,3.70,4.76,4.76,2.12,0.00,201.25,12.54,5,4,582,583,0,0,
-24001181,1066.82,1.75,2.17,5.36,5.36,2.10,0.00,241.70,10.63,6,3,487,490,0,0,
-241114210#0,65.90,10.39,11.02,0.07,0.07,0.03,0.00,2.78,7.94,0,3,6,3,0,0,
-241114210#1,128.45,2.12,2.87,0.97,0.97,0.37,0.00,35.41,5.95,4,0,42,46,0,0,
-241114210#2,215.75,5.09,5.85,0.61,0.61,0.27,1.00,48.95,6.32,8,0,30,38,0,0,
-241114210#3,129.61,3.86,4.49,0.44,0.44,0.19,0.00,18.89,7.05,7,0,23,30,0,0,
-241114210#4,42.46,7.38,8.02,0.10,0.10,0.05,0.00,14.30,5.39,6,0,0,6,0,0,
-242083805,89.42,10.11,10.77,0.13,0.13,0.06,0.00,26.18,6.13,9,0,0,9,0,0,
-24394256#0,28.51,6.75,7.34,0.05,0.05,0.02,0.00,0.54,8.43,0,4,4,0,0,0,
-24394257#0,114.15,9.85,10.45,0.13,0.13,0.06,0.00,4.23,8.24,0,7,11,4,0,0,
-24394257#1,43.66,6.49,7.31,0.13,0.13,0.06,0.00,16.75,4.76,7,0,0,7,0,0,
-24394258,132.78,5.47,6.20,0.31,0.31,0.14,0.00,19.00,7.14,0,6,22,16,0,0,
-24394259#0,12.83,3.85,4.47,0.04,0.04,0.02,0.00,0.65,8.29,0,3,3,0,0,0,
-24394259#1,75.81,14.67,15.26,0.06,0.06,0.03,0.00,4.31,8.37,0,2,5,3,0,0,
-24394260,659.01,13.37,14.08,0.40,0.40,0.19,4.00,124.35,11.03,4,11,43,36,0,0,
-24394263#0,5.56,0.83,1.20,0.05,0.05,0.02,0.00,0.11,13.42,0,5,5,0,0,0,
-24394263#1,282.06,5.34,6.02,0.39,0.39,0.18,0.00,22.89,11.88,0,7,47,40,0,0,
-24394263#2,331.14,5.35,5.72,0.49,0.49,0.22,0.00,54.71,11.62,0,11,58,47,0,0,
-24394265#0,3.10,0.03,0.69,1.41,1.41,0.03,0.00,1.44,7.54,0,6,6,0,0,0,
-24394265#1,3.04,,1.58,1.38,1.38,0.03,0.00,1.83,3.29,2,0,0,2,0,0,
-24394267#0,6.21,1.25,1.61,0.03,0.03,0.01,0.00,0.15,14.05,0,4,4,0,0,0,
-24394267#1,17.27,1.84,2.21,0.07,0.07,0.03,0.00,0.47,13.19,0,4,8,4,0,0,
-24394267#2,111.72,8.29,8.67,0.10,0.10,0.05,0.00,13.17,11.88,0,5,13,8,0,0,
-24394270,19.27,2.89,3.29,0.05,0.05,0.02,0.00,1.49,12.20,0,6,6,0,0,0,
-24394272#1,359.40,4.62,5.31,0.81,0.81,0.37,26.00,132.54,8.51,3,4,65,64,0,0,
-24394272#2,354.06,4.68,5.06,0.55,0.55,0.25,0.00,32.37,12.46,1,5,69,65,0,0,
-24394273#0,28.78,1.27,2.38,0.45,0.45,0.13,0.00,9.75,4.53,4,0,10,14,0,0,
-24394273#1,72.70,6.65,7.68,0.15,0.15,0.07,0.00,16.54,6.26,5,0,5,10,0,0,
-24394273#2,9.13,,1.90,4.15,4.15,0.08,0.00,6.08,2.74,5,0,0,5,0,0,
-24402207#0,447.18,5.09,5.87,1.23,1.23,0.54,13.00,96.98,6.49,6,0,71,77,0,0,
-24402207#1,161.72,1.89,2.54,1.06,1.06,0.40,0.00,14.42,7.43,5,0,60,65,0,0,
-24402207#3,520.51,9.93,10.67,0.65,0.65,0.30,1.00,50.99,7.32,3,0,46,49,0,0,
-24402207#4,363.85,8.43,9.15,0.55,0.55,0.25,0.00,40.46,7.18,3,0,37,40,0,0,
-24402207#5,89.07,2.97,3.70,0.47,0.47,0.19,0.00,22.76,6.04,4,0,21,25,0,0,
-24402207#8,106.94,4.53,5.19,0.29,0.29,0.13,0.00,8.33,7.48,3,0,18,21,0,0,
-24402207#9,364.32,19.68,20.31,0.22,0.22,0.10,0.00,15.64,7.78,2,0,16,18,0,0,
-24402210#0,53.17,5.42,6.03,0.11,0.11,0.05,0.00,2.01,8.06,0,9,9,0,0,0,
-24402211,39.24,6.13,6.73,0.07,0.07,0.03,0.00,1.25,8.09,0,6,6,0,0,0,
-24402213#0,5.54,0.40,1.08,0.17,0.17,0.03,0.00,0.34,7.41,0,6,6,0,0,0,
-24402213#1,9.65,2.94,3.84,0.17,0.17,0.05,0.00,6.64,2.67,5,0,0,5,0,0,
-24402215#0,813.76,4.25,5.01,2.58,2.58,1.11,4.00,140.49,6.72,4,3,159,160,0,0,
-24402215#1,882.42,4.73,5.37,2.22,2.22,0.98,0.00,61.89,7.64,5,6,160,159,0,0,
-24402216#0,32.80,7.75,8.36,0.05,0.05,0.02,0.00,0.95,8.20,0,4,4,0,0,0,
-24402216#1,575.32,3.02,3.86,2.78,2.78,1.11,0.00,105.62,6.17,8,3,143,148,0,0,
-24402216#2,178.87,7.61,8.37,0.32,0.32,0.15,0.00,29.27,6.73,7,0,15,22,0,0,
-24402217#0,47.83,7.60,8.21,0.07,0.07,0.03,0.00,2.43,8.06,0,6,6,0,0,0,
-24402217#1,354.52,24.77,25.47,0.18,0.18,0.09,0.00,27.65,7.38,3,0,11,14,0,0,
-24402217#2,45.72,4.00,4.66,0.20,0.20,0.09,0.00,14.16,5.49,6,0,5,11,0,0,
-24402217#3,7.28,,1.89,3.31,3.31,0.07,0.00,4.79,2.75,4,0,0,4,0,0,
-24402218,6.69,1.33,1.98,0.06,0.06,0.02,0.00,0.40,7.53,0,4,4,0,0,0,
-24402221#0,141.20,10.11,11.17,0.19,0.19,0.09,3.00,31.37,6.40,5,0,8,13,0,0,
-24402223,39.77,13.29,14.01,0.04,0.04,0.02,0.00,8.79,6.79,3,0,0,3,0,0,
-25051363,91.92,18.59,19.46,0.10,0.10,0.05,34.00,59.07,4.73,5,0,0,5,0,0,
-25192078,44.82,8.61,9.02,0.04,0.04,0.02,0.00,6.84,10.90,0,5,5,0,0,0,
-25897645#1,356.97,2.21,3.18,3.58,3.58,1.32,67.00,145.84,4.42,4,3,110,111,0,0,
-25897645#2,41.96,13.86,14.84,0.05,0.05,0.02,0.00,9.48,5.99,3,0,0,3,0,0,
-25897653#0,618.83,4.82,5.60,1.73,1.73,0.76,15.00,118.28,6.69,2,3,109,108,0,0,
-25897653#1,491.86,7.26,7.99,0.86,0.86,0.39,0.00,71.07,7.11,5,2,57,60,0,0,
-25897658#0,579.02,10.38,11.20,0.66,0.66,0.31,0.00,42.30,7.52,4,3,48,49,0,0,
-25897658#1,187.17,8.33,9.20,0.30,0.30,0.14,0.00,27.80,6.71,8,0,13,21,0,0,
-25897658#2,17.49,0.98,2.36,0.74,0.74,0.11,0.00,11.01,3.03,2,0,6,8,0,0,
-25897658#3,10.99,,3.10,0.29,0.29,0.07,0.00,7.32,2.73,6,0,0,6,0,0,
-25897682,27.79,5.99,6.65,0.10,0.10,0.05,0.00,11.50,4.66,5,0,0,5,0,0,
-25897691#0,238.40,6.88,7.56,0.42,0.42,0.19,0.00,26.99,7.43,4,5,28,27,0,0,
-25897691#1,52.32,4.76,5.46,0.15,0.15,0.07,0.00,11.08,6.62,3,0,7,10,0,0,
-25897697,14.21,7.30,8.04,0.03,0.03,0.02,0.00,7.85,5.45,2,0,0,2,0,0,
-25897705,287.20,11.97,12.67,0.28,0.28,0.13,0.00,25.75,7.71,4,5,19,18,0,0,
-25897877#0,0.00,,,,,,,,,0,0,0,0,0,0,
-25897877#1,6.42,0.49,1.13,0.15,0.15,0.03,0.00,0.30,7.78,0,6,6,0,0,0,
-26356127,2399.45,25.38,26.17,1.12,1.12,0.55,1.00,181.35,7.60,11,2,81,90,0,0,
-26356128#0,381.57,7.44,8.16,0.64,0.64,0.30,0.00,43.53,7.21,2,5,45,42,0,0,
-26356128#1,461.66,12.21,12.93,0.46,0.46,0.22,0.00,39.64,7.45,3,5,33,31,0,0,
-26356128#2,520.79,12.14,12.78,0.49,0.49,0.23,0.00,18.50,7.94,1,8,40,33,0,0,
-26356134,51.08,12.83,13.56,0.06,0.06,0.03,0.00,10.99,6.49,4,0,0,4,0,0,
-26356144,635.69,9.37,10.12,0.80,0.80,0.37,0.00,50.63,7.61,2,5,61,58,0,0,
-26356145#0,995.25,27.79,28.53,0.42,0.42,0.20,0.00,58.13,7.79,4,5,31,30,0,0,
-26356145#1,74.26,24.69,25.52,0.04,0.04,0.02,0.00,9.66,6.64,3,0,0,3,0,0,
-26356147#0,1036.71,26.55,27.31,0.44,0.44,0.22,0.00,42.12,7.94,0,5,38,33,0,0,
-26356147#1,330.93,4.11,4.81,1.08,1.08,0.46,0.00,60.47,6.83,5,4,65,66,0,0,
-26356147#2,73.02,18.29,18.94,0.05,0.05,0.02,0.00,10.61,7.41,4,0,0,4,0,0,
-26356149,122.37,17.06,17.69,0.08,0.08,0.04,0.00,2.31,7.88,0,7,7,0,0,0,
-26356152#0,84.63,8.01,8.67,0.13,0.13,0.06,0.00,9.58,7.25,3,0,7,10,0,0,
-26356152#1,32.91,6.90,7.61,0.09,0.09,0.04,0.00,12.98,4.96,5,0,0,5,0,0,
-26356153,16.20,8.19,9.00,0.03,0.03,0.02,0.00,4.14,5.66,2,0,0,2,0,0,
-26356156,42.35,7.36,8.00,0.10,0.10,0.05,0.00,15.49,5.43,6,0,0,6,0,0,
-26356158#0,1049.63,9.68,10.54,1.45,1.45,0.68,49.00,191.41,6.72,5,2,95,98,0,0,
-26356158#1,40.49,6.18,6.81,0.13,0.13,0.06,0.00,15.53,4.95,7,0,0,7,0,0,
-26356159,1045.24,10.79,11.51,1.16,1.16,0.55,0.00,85.47,7.56,2,3,89,88,0,0,
-26356160#0,200.91,3.97,4.70,0.70,0.70,0.30,1.00,41.55,6.63,6,7,38,37,0,0,
-26356160#1,148.23,2.91,3.54,0.63,0.63,0.26,0.00,15.53,7.46,5,5,38,38,0,0,
-26356212#0,210.19,3.95,4.77,0.73,0.73,0.31,0.00,32.76,6.56,3,7,42,38,0,0,
-26356212#1,398.45,9.63,10.37,0.54,0.54,0.25,0.00,56.93,6.98,8,3,31,36,0,0,
-26356212#2,326.49,8.99,9.64,0.43,0.43,0.20,0.00,17.54,7.72,1,3,33,31,0,0,
-26356216#1,50.25,1.68,2.54,0.63,0.63,0.22,3.00,23.43,4.81,3,0,18,21,0,0,
-26356216#2,814.69,44.51,45.33,0.21,0.21,0.10,0.00,48.95,7.78,2,0,16,18,0,0,
-26356216#3,51.68,2.84,3.56,0.31,0.31,0.13,0.00,16.01,5.71,6,0,10,16,0,0,
-26356216#4,46.26,4.31,4.94,0.16,0.16,0.07,0.00,9.98,6.47,4,0,6,10,0,0,
-26356216#5,183.34,30.51,31.26,0.07,0.07,0.04,0.00,21.16,7.29,6,0,0,6,0,0,
-26357912,69.52,10.04,10.79,0.11,0.11,0.05,0.00,20.02,5.97,7,0,0,7,0,0,
-26370271#0,204.68,7.90,8.62,0.31,0.31,0.15,0.00,22.59,7.45,3,3,21,21,0,0,
-26370271#1,70.28,2.51,3.15,0.36,0.36,0.14,0.00,8.79,7.28,3,2,20,21,0,0,
-26370271#2,175.21,6.25,6.89,0.35,0.35,0.16,0.00,21.82,7.36,5,6,21,20,0,0,
-26370271#3,697.73,7.81,8.55,1.08,1.08,0.50,2.00,75.18,7.46,4,5,78,77,0,0,
-26370271#4,689.81,7.15,7.84,1.20,1.20,0.55,3.00,87.98,7.28,10,4,79,85,0,0,
-26370272#0,16.84,1.43,2.78,0.28,0.28,0.08,0.00,8.00,3.80,4,0,4,8,0,0,
-26370272#1,62.09,15.07,16.27,0.05,0.05,0.03,0.00,12.24,6.85,4,0,0,4,0,0,
-26370273#0,51.63,9.85,10.47,0.06,0.06,0.03,0.00,1.34,8.03,0,5,5,0,0,0,
-26370273#1,113.97,8.84,9.58,0.15,0.15,0.07,0.00,9.27,7.70,0,3,12,9,0,0,
-26370273#2,185.80,1.25,1.98,2.27,2.27,0.70,0.00,43.52,6.29,5,6,92,91,0,0,
-26370273#3,3017.63,30.66,31.48,1.12,1.12,0.55,0.00,164.45,7.92,5,4,91,92,0,0,
-26370274,108.45,21.73,22.38,0.06,0.06,0.03,0.00,14.03,7.40,5,0,0,5,0,0,
-26370277#0,52.01,8.21,8.84,0.07,0.07,0.03,0.00,2.38,7.73,0,6,6,0,0,0,
-26370277#1,7.28,4.41,4.90,0.04,0.04,0.02,0.00,3.85,4.05,2,0,0,2,0,0,
-26370278#0,498.08,4.12,5.16,2.60,2.60,1.10,94.00,228.32,4.34,5,5,93,93,0,0,
-26370278#1,429.23,3.66,4.35,1.46,1.46,0.62,0.00,52.87,7.29,2,6,97,93,0,0,
-26370278#2,2432.04,23.48,24.10,1.18,1.18,0.57,0.00,94.60,7.97,2,4,99,97,0,0,
-28007430,4.00,3.60,4.00,0.01,0.01,0.00,0.00,1.54,9.95,0,1,1,0,0,0,
-28007432,3.03,0.01,0.70,2.75,2.75,0.03,0.00,1.41,7.25,0,7,7,0,0,0,
-28007442,37.48,9.46,10.27,0.06,0.06,0.03,0.00,10.39,5.65,4,0,0,4,0,0,
-28007443#0,48.97,2.38,3.18,0.41,0.41,0.16,0.00,19.20,4.99,5,0,12,17,0,0,
-28007443#1,16.79,4.82,5.46,0.09,0.09,0.04,0.00,8.15,4.04,4,0,0,4,0,0,
-28007444,8.56,3.95,4.56,0.02,0.02,0.01,0.00,0.31,8.12,0,2,2,0,0,0,
-28448418,37.94,9.22,9.83,0.05,0.05,0.02,0.00,1.75,7.95,0,4,4,0,0,0,
-28448430,0.00,,,,,,,,,0,0,0,0,0,0,
-28448434,0.00,,,,,,,,,0,0,0,0,0,0,
-28448436,0.00,,,,,,,,,0,0,0,0,0,0,
-28448438#0,36.14,11.83,12.42,0.03,0.03,0.02,0.00,1.21,8.17,0,3,3,0,0,0,
-28448447,38.96,9.83,10.58,0.06,0.06,0.03,0.00,11.75,6.06,4,0,0,4,0,0,
-28448448#0,59.80,8.00,8.91,0.11,0.11,0.05,0.00,13.91,5.97,3,0,4,7,0,0,
-28448448#1,8.40,3.00,3.98,0.13,0.13,0.04,0.00,4.46,2.71,4,0,0,4,0,0,
-28448449,30.52,10.11,11.03,0.05,0.05,0.02,0.00,7.17,5.92,3,0,0,3,0,0,
-28448451#0,81.07,4.03,4.86,0.28,0.28,0.12,0.00,14.57,6.38,2,0,15,17,0,0,
-28448451#1,30.42,4.29,4.82,0.23,0.23,0.10,0.00,17.53,3.54,9,0,0,9,0,0,
-28448452,14.87,2.11,2.72,0.08,0.08,0.03,0.00,0.93,7.77,0,6,6,0,0,0,
-28448459,273.35,7.37,8.10,0.46,0.46,0.21,0.00,31.40,7.33,3,0,31,34,0,0,
-28448460#0,10.22,1.26,1.87,0.09,0.09,0.03,0.00,0.28,8.09,0,6,6,0,0,0,
-28448460#2,178.07,11.37,12.10,0.19,0.19,0.09,0.00,21.36,7.29,5,0,10,15,0,0,
-28448460#3,8.82,3.37,3.78,0.11,0.11,0.04,0.00,5.40,3.23,4,0,0,4,0,0,
-28448461,1.53,0.48,1.28,0.05,0.05,0.01,0.00,0.39,6.03,0,2,2,0,0,0,
-28448463,3.09,0.02,0.62,1.40,1.40,0.03,0.00,0.01,8.38,0,5,5,0,0,0,
-28448469#0,24.53,11.86,12.51,0.03,0.03,0.01,0.00,1.42,7.21,0,2,2,0,0,0,
-28448469#1,38.83,7.14,7.87,0.07,0.07,0.03,0.00,4.04,7.20,0,3,5,2,0,0,
-28530459,79.43,19.54,20.17,0.05,0.05,0.02,0.00,1.37,8.02,0,4,4,0,0,0,
-28530504#0,338.46,4.09,4.99,0.97,0.97,0.43,26.00,127.72,7.33,0,4,68,64,0,0,
-28530504#1,115.31,1.19,1.59,0.71,0.71,0.27,0.00,11.03,12.41,2,5,71,68,0,0,
-28530504#2,401.34,4.69,5.07,0.80,0.80,0.36,0.00,107.65,10.01,8,9,72,71,0,0,
-28530504#3,32.54,5.85,6.26,0.09,0.09,0.04,0.00,18.22,6.11,6,0,0,6,0,0,
-28530508,818.03,11.28,12.10,0.64,0.64,0.30,0.00,187.15,9.98,8,2,60,66,0,0,
-28530580,58.16,7.81,8.42,0.08,0.08,0.04,0.00,2.04,8.18,0,7,7,0,0,0,
-28530611,21.05,6.61,7.05,0.03,0.03,0.01,0.00,3.76,9.88,0,3,3,0,0,0,
-28530729,196.19,6.69,7.13,0.28,0.28,0.13,0.00,51.82,9.78,6,4,22,24,0,0,
-28530767,712.23,12.72,13.49,0.47,0.47,0.22,2.00,136.69,10.63,4,6,49,47,0,0,
-288349250,2.74,0.34,0.93,0.10,0.10,0.02,0.00,1.07,8.22,0,4,4,0,0,0,
-289267156#0,264.99,16.92,17.76,0.20,0.20,0.09,4.00,30.47,7.15,2,0,13,15,0,0,
-289267156#1,7.57,3.69,4.16,0.09,0.09,0.03,0.00,4.65,3.13,3,0,0,3,0,0,
-289267158,62.04,12.46,13.20,0.07,0.07,0.03,0.00,13.82,6.45,5,0,0,5,0,0,
-289267159#0,415.82,3.76,4.63,1.69,1.69,0.71,13.00,118.45,5.91,5,5,86,86,0,0,
-289267159#1,149.29,1.36,2.10,1.75,1.75,0.55,0.00,39.20,6.09,6,2,68,72,0,0,
-289267159#2,662.70,8.38,9.14,0.93,0.93,0.43,0.00,51.27,7.60,6,5,67,68,0,0,
-289267159#3,183.28,14.95,15.65,0.15,0.15,0.07,0.00,17.54,7.28,5,5,7,7,0,0,
-289267159#4,129.72,12.58,13.20,0.12,0.12,0.06,0.00,9.03,7.71,2,3,8,7,0,0,
-289662988#0,14.17,2.02,2.38,0.04,0.04,0.02,0.00,0.46,14.23,0,6,6,0,0,0,
-289662988#1,348.67,4.28,5.03,0.71,0.71,0.32,0.00,61.29,9.84,6,4,64,66,0,0,
-289662988#2,113.30,1.37,1.76,0.63,0.63,0.24,0.00,13.65,12.12,2,1,63,64,0,0,
-289662988#3,242.84,3.35,3.76,0.75,0.75,0.32,0.00,81.03,9.18,9,3,57,63,0,0,
-289831477,13.21,,3.62,0.26,0.26,0.08,0.00,7.98,2.65,7,0,0,7,0,0,
-290585784#1,14.72,3.83,4.37,0.13,0.13,0.05,0.00,10.27,3.57,5,0,0,5,0,0,
-290773138#0,220.13,2.61,3.66,1.50,1.50,0.56,5.00,71.52,5.00,2,2,59,59,0,0,
-290773138#1,66.02,12.98,14.01,0.07,0.07,0.03,0.00,14.79,6.34,5,0,0,5,0,0,
-290773139,20.04,0.03,0.92,9.11,9.11,0.18,0.00,6.31,5.65,3,3,19,19,0,0,
-290773140#0,62.56,0.12,1.00,28.44,28.44,0.55,5.00,23.19,5.18,2,2,61,61,0,0,
-290773140#1,22.57,10.50,12.30,0.04,0.04,0.02,1.00,9.93,5.00,2,0,0,2,0,0,
-292330787#0,875.86,11.38,11.86,0.55,0.55,0.26,0.00,58.70,12.69,4,5,70,69,0,0,
-292330787#1,291.80,4.19,4.58,0.54,0.54,0.25,0.00,41.85,11.76,3,2,61,62,0,0,
-292330787#2,55.25,0.73,1.15,0.58,0.58,0.19,0.00,7.68,11.86,3,5,46,44,0,0,
-292330787#3,964.34,18.21,18.58,0.38,0.38,0.18,0.00,85.50,12.68,3,6,49,46,0,0,
-292330787#4,82.03,20.60,20.95,0.03,0.03,0.02,0.00,16.03,11.61,4,0,0,4,0,0,
-305408739,297.21,33.07,33.43,0.06,0.03,0.02,0.00,36.82,12.64,9,0,0,9,8,8,
-306446498#1,2062.82,5.58,6.02,2.59,2.59,1.21,0.00,116.01,12.84,7,4,336,339,0,0,
-306446498#2,2832.93,8.05,8.42,2.40,2.40,1.15,0.00,109.10,13.33,9,1,328,336,0,0,
-306446498#3,368.64,0.73,1.12,3.57,3.57,1.18,0.00,25.53,12.87,8,5,325,328,0,0,
-306446498#4,1202.09,3.30,3.67,2.49,2.49,1.12,0.00,44.60,13.32,4,3,324,325,0,0,
-306446498#5,972.96,2.57,2.95,2.63,2.63,1.15,0.00,50.10,13.12,5,7,326,324,0,0,
-306446499,8699.26,8.51,8.89,7.02,3.51,1.68,0.00,370.54,13.24,7,1,972,978,123,123,
-306596440#0,5716.22,18.14,18.96,6.78,6.78,3.29,2993.00,3939.48,4.31,6,12,296,290,0,0,
-306596440#1,498.32,1.30,1.67,2.65,2.65,1.03,0.00,24.19,13.21,3,3,296,296,0,0,
-306596440#2,5066.44,16.53,16.90,2.08,2.08,1.02,0.00,172.78,13.41,6,4,294,296,0,0,
-306596440#3,631.00,1.73,2.11,2.58,2.58,1.06,0.00,42.59,12.94,7,7,294,294,0,0,
-306596440#4,514.55,1.38,1.75,2.62,2.62,1.03,0.00,30.37,13.06,6,1,289,294,0,0,
-306596440#5,571.29,1.60,1.97,2.44,2.44,0.99,0.00,21.73,13.36,2,2,289,289,0,0,
-306596440#6,929.10,2.81,3.18,2.41,2.41,1.05,0.00,86.29,12.60,6,4,287,289,0,0,
-306596440#7,2034.15,6.60,7.10,2.15,2.15,1.01,0.00,127.35,12.80,6,2,281,285,0,0,
-306596440#8,1622.95,5.18,5.56,2.13,2.13,0.99,0.00,53.29,13.37,2,6,290,286,0,0,
-306596440#9,1952.12,6.28,6.65,2.39,2.39,1.11,0.00,271.00,11.92,3,4,291,290,0,0,
-306596442#0,1852.78,6.34,6.72,2.01,2.01,0.95,0.00,90.56,13.19,5,4,271,272,0,0,
-306596442#1,553.67,1.63,2.01,2.44,2.44,0.99,0.00,46.14,12.73,9,6,268,271,0,0,
-306596443#0,2018.09,8.15,8.52,1.68,1.68,0.80,0.00,60.47,13.39,4,5,233,232,0,0,
-306596443#1,697.76,2.57,2.95,1.90,1.90,0.83,0.00,40.12,13.02,3,4,234,233,0,0,
-306596445#0,870.07,2.83,3.22,2.39,2.39,1.03,0.00,127.03,11.85,3,3,268,268,0,0,
