_time,_type,_lane,_pos,_collider,_victim,_colliderType,_victimType,_colliderSpeed,_victimSpeed
441.00,collision,23453287#8_0,0.20,262,318,CAV2,CAV2,3.88,0.00
2406.00,collision,24001181_0,12.76,2307,2231,CAV2,CAV2,3.79,0.00
2956.00,collision,245232801_0,93.87,2709,2698,CAV2,CAV2,3.87,0.00
4134.00,collision,22762674#2_1,79.74,4122,4065,CAV2,CAV2,3.88,0.00
5375.00,collision,23453287#8_0,35.20,5365,5245,CAV2,CAV2,3.87,0.00
6980.00,collision,23453287#8_0,35.20,6970,6750,CAV2,CAV2,3.87,0.00
7148.00,collision,245232808#3_0,61.87,7134,6989,CAV2,CAV2,3.86,0.00
7264.00,collision,42888553#4_0,95.43,7128,7182,CAV2,CAV2,3.82,0.00
7494.00,collision,-601761836_0,19.44,7393,7342,CAV2,CAV2,3.82,0.00
7676.00,junction,:2063729256_2_1,30.37,7614,7570,CAV2,CAV2,3.84,0.00
7690.00,collision,-23453287#1_0,26.35,7583,7551,CAV2,CAV2,3.88,0.00
8013.00,collision,-476193290#0_0,34.56,7865,7887,CAV2,CAV2,3.82,0.00
8689.00,collision,42888553#4_0,95.42,8604,8608,CAV2,CAV2,3.80,0.00
9411.00,collision,184708616#1_0,2.61,9357,9312,CAV2,CAV2,3.82,0.00
10236.00,collision,23453287#8_0,28.19,9990,9940,CAV2,CAV2,3.88,0.00
