_time,_type,_lane,_pos,_collider,_victim,_colliderType,_victimType,_colliderSpeed,_victimSpeed
411.00,collision,-131655247#0_1,5.36,224,300,HDV,CAV2,4.17,0.00
493.00,collision,245232797#2_0,61.43,442,132,HDV,HDV,3.34,0.00
792.00,collision,42888553#4_0,82.34,686,666,CAV2,CAV2,3.82,0.00
1378.00,collision,-601761836_0,17.41,1265,1297,HDV,HDV,2.40,0.00
1554.00,collision,-8232907_0,9.58,1248,1395,HDV,CAV2,2.40,0.00
1596.00,collision,808865749#5_0,216.70,1574,1289,HDV,CAV2,3.10,0.00
1615.00,collision,307192473#4_0,107.41,1462,1287,HDV,CAV4,2.66,0.00
1960.00,collision,-131655426#1_0,14.72,1785,1833,CAV2,CAV2,3.84,0.00
2143.00,collision,42888553#4_0,86.12,1982,2029,HDV,CAV2,3.57,0.00
2297.00,collision,306865642#12_0,30.05,2153,2215,HDV,CAV2,2.88,0.00
2455.00,collision,-131838565#0_0,61.09,2356,2320,HDV,CAV2,0.48,0.00
2521.00,collision,307192473#4_0,102.09,2439,2477,HDV,CAV2,3.28,0.00
2607.00,collision,42888553#4_0,85.62,2518,2400,HDV,HDV,3.08,0.00
2865.00,collision,105412946#14_0,219.67,2801,2825,HDV,CAV2,4.43,0.00
2919.00,collision,-202855820_0,12.36,2598,2837,CAV2,CAV2,3.86,0.00
2937.00,junction,:264760052_1_0,1.45,2893,2636,HDV,CAV2,3.43,0.00
3797.00,junction,:1110397350_4_0,13.49,3716,3737,CAV2,CAV2,3.87,0.00
3902.00,collision,-131655426#1_0,9.68,3666,3685,CAV4,CAV2,4.12,0.00
3906.00,collision,245232797#2_0,54.43,3553,3775,HDV,CAV4,1.77,0.00
4038.00,collision,245232801_0,91.58,3864,3681,HDV,CAV2,2.17,0.00
4486.00,junction,:2524648370_1_0,17.56,4417,4227,CAV2,CAV2,3.79,0.00
4694.00,collision,306865642#14_0,19.17,4548,4557,CAV2,CAV2,3.82,0.00
5020.00,collision,42888553#4_1,87.73,4857,4889,HDV,CAV2,2.28,0.54
5023.00,collision,-196190040#1_0,169.06,4956,4893,HDV,CAV2,1.52,0.00
5126.00,collision,-131655426#2_0,57.29,4902,5096,HDV,CAV2,3.72,0.00
5281.00,collision,307192473#4_0,109.72,5101,5245,CAV2,CAV2,3.83,0.00
5336.00,collision,131755014#5_0,38.41,5212,5247,HDV,CAV2,2.49,0.00
5393.00,collision,-131655247#0_1,5.34,5212,5352,HDV,CAV2,4.43,0.00
5455.00,junction,:259646836_11_0,1.90,5362,5361,CAV4,CAV2,4.58,0.00
5459.00,collision,245232812_0,18.87,5258,5437,HDV,CAV2,3.98,0.00
5534.00,junction,:245225002_2_1,4.77,5382,5335,CAV4,CAV2,4.96,2.00
5565.00,collision,42888553#4_0,64.47,5437,5481,CAV2,CAV2,4.69,0.00
5794.00,collision,95799600#10_0,7.72,5695,5686,CAV2,CAV2,3.83,0.00
6176.00,collision,42888553#4_0,24.72,6126,5849,CAV4,CAV4,4.58,0.00
6189.00,collision,-601761837#0_0,73.33,5990,6110,CAV4,CAV4,5.88,0.00
6190.00,collision,306865642#12_0,37.89,5775,5897,CAV4,CAV2,4.34,0.00
6197.00,collision,42888553#0_1,63.04,6031,6049,CAV2,CAV2,3.86,0.00
6237.00,collision,42888553#4_0,95.44,5946,5987,CAV4,CAV2,5.69,0.00
6238.00,collision,42888553#1_1,43.04,6066,6025,CAV4,CAV2,6.07,0.00
6240.00,collision,-476193290#0_0,1.58,5949,5911,CAV4,CAV2,5.13,0.00
6343.00,collision,42888553#4_0,94.55,6050,6187,CAV4,HDV,3.32,0.21
6647.00,collision,307192473#4_0,101.78,6416,6465,HDV,CAV2,3.23,0.00
7022.00,collision,42888553#4_0,65.94,6894,6896,CAV2,CAV2,5.44,0.00
7128.00,collision,896868665#5_0,22.07,7056,7007,CAV2,CAV2,3.86,0.00
7137.00,collision,476127076#2_0,116.08,6870,6803,CAV4,CAV2,5.78,0.29
7256.00,collision,22762674#2_1,89.77,7213,7202,HDV,CAV2,4.06,0.00
7546.00,collision,-196190040#1_0,164.35,7474,7426,CAV2,CAV2,3.85,0.00
7687.00,collision,-601761836_0,3.86,7529,7603,HDV,CAV2,1.48,0.00
7880.00,collision,-131838566#0_0,42.90,7673,7697,HDV,CAV2,1.40,0.00
7918.00,collision,-23453287#11_0,24.78,7777,7785,CAV2,CAV2,3.83,0.00
8213.00,collision,-95807620#0_0,6.70,8027,8024,CAV4,CAV2,6.69,0.15
8391.00,collision,-105412946#0_0,4.21,8241,8249,CAV4,HDV,3.45,0.35
8407.00,collision,-131655426#2_0,51.74,8307,8135,CAV4,CAV2,4.33,0.00
9148.00,collision,23453287#8_0,28.20,9131,8968,CAV2,CAV2,3.82,0.00
9415.00,collision,-95807620#0_0,24.07,9377,9344,CAV4,CAV2,6.52,0.00
9840.00,collision,-601761836_0,19.44,9698,9804,CAV2,CAV2,3.81,0.00
9864.00,collision,245232801_0,91.59,9533,9553,HDV,CAV2,3.46,0.00
9894.00,collision,-202855820_0,12.36,9796,9765,CAV2,CAV2,3.86,0.00
