_time,_type,_lane,_pos,_collider,_victim,_colliderType,_victimType,_colliderSpeed,_victimSpeed
7527.00,collision,42888553#4_0,93.13,7337,7438,HDV,HDV,1.91,0.00
7727.00,collision,-196190040#1_0,146.56,7688,7628,HDV,HDV,2.49,0.00
7851.00,collision,306865642#14_0,9.37,7672,7800,HDV,HDV,4.10,0.00
7976.00,collision,23453287#8_0,25.92,7803,7699,HDV,HDV,3.80,0.00
8013.00,collision,245232789#1_0,4.54,7963,7945,HDV,HDV,0.59,0.00
8056.00,collision,95807619#13_0,21.65,7897,7863,HDV,HDV,4.45,0.00
8077.00,collision,42888553#4_0,70.64,7788,7906,HDV,HDV,4.31,0.00
8188.00,collision,-896868665#4_0,54.21,8172,7912,HDV,HDV,2.62,0.00
8228.00,junction,:253526448_1_1,7.03,8040,7923,HDV,HDV,2.71,0.00
8241.00,collision,-95807620#0_0,18.92,8165,8111,HDV,HDV,3.07,0.00
8263.00,collision,-896868665#4_0,61.70,8105,8199,HDV,HDV,0.89,0.00
8442.00,collision,23453287#8_0,32.92,8342,8291,HDV,HDV,4.01,0.00
8482.00,collision,95807619#13_0,36.64,8262,8264,HDV,HDV,2.34,0.00
8810.00,collision,307192473#4_0,92.42,8614,8597,HDV,HDV,3.62,0.00
8873.00,collision,23453287#8_0,25.40,8457,8603,HDV,HDV,2.92,0.00
8950.00,collision,22762674#2_1,89.75,8902,8831,HDV,HDV,0.70,0.00
8970.00,collision,138505355_1,12.32,8928,8699,HDV,HDV,1.19,0.00
8994.00,collision,307192473#4_1,107.43,8954,8783,HDV,HDV,3.59,0.00
9030.00,junction,:245225000_2_1,0.29,8820,8866,HDV,HDV,3.27,0.00
9031.00,collision,95799600#10_0,5.42,8956,8869,HDV,HDV,3.14,0.00
9085.00,collision,307192473#4_0,107.42,8968,8830,HDV,HDV,3.38,0.00
9101.00,collision,95807619#13_0,36.63,8869,8855,HDV,HDV,1.36,0.00
9166.00,collision,307192473#4_0,107.41,8986,8893,HDV,HDV,0.94,0.00
9464.00,collision,95807619#13_0,36.64,9306,9437,HDV,HDV,1.53,0.00
9605.00,collision,24001181_0,2.96,9437,9382,HDV,HDV,3.12,0.00
9627.00,collision,105412946#14_0,225.87,9486,9562,HDV,HDV,2.34,0.00
9735.00,collision,95799600#10_0,6.07,9706,9630,HDV,HDV,2.97,0.00
9803.00,collision,-23453287#11_0,13.12,9705,9783,HDV,HDV,0.84,0.00
