_time,_type,_lane,_pos,_collider,_victim,_colliderType,_victimType,_colliderSpeed,_victimSpeed
696.00,collision,24001181_0,12.76,458,500,CAV2,CAV2,3.79,0.00
793.00,junction,:260243824_1_0,1.38,677,548,CAV2,CAV2,2.79,0.00
1156.00,collision,-196190040#1_0,171.35,1036,1048,CAV2,CAV2,3.85,0.00
1237.00,collision,307192473#4_0,96.55,1029,953,CAV2,CAV2,1.98,0.00
1602.00,collision,307192473#4_1,109.72,1462,1556,CAV2,CAV2,3.83,0.00
1681.00,collision,23453287#8_0,35.20,1598,1556,CAV2,CAV2,3.84,0.00
2143.00,collision,-131655247#0_1,8.39,1912,1954,CAV4,CAV2,3.88,0.04
2244.00,collision,42888553#4_1,95.43,2079,2081,CAV2,CAV2,3.82,0.00
2406.00,collision,24001181_0,12.76,2307,2231,CAV2,CAV2,3.79,0.00
2580.00,collision,23453287#8_0,22.25,2477,2511,CAV2,CAV2,2.20,0.00
2911.00,collision,476127076#2_0,116.47,2631,2632,CAV4,CAV2,5.49,0.00
2956.00,collision,245232801_0,93.87,2709,2698,CAV2,CAV2,3.87,0.00
3267.00,collision,95807619#13_0,38.93,3166,3046,CAV2,CAV2,3.88,0.00
4049.00,collision,42888553#4_0,90.04,3916,3868,CAV2,CAV2,3.85,0.00
4972.00,collision,95807619#13_0,21.97,4853,4769,CAV2,CAV2,3.83,0.00
5219.00,collision,-476127076#1_0,34.02,5060,5154,CAV2,CAV2,3.85,0.00
5375.00,collision,23453287#8_0,35.20,5365,5245,CAV2,CAV2,3.87,0.00
5746.00,collision,-131655426#1_0,14.73,5583,5478,CAV2,CAV2,3.81,0.00
5848.00,collision,-476193290#0_0,29.34,5662,5648,CAV2,CAV2,3.84,0.00
6379.00,collision,245232801_1,93.87,6138,6093,CAV2,CAV2,3.86,0.00
6478.00,collision,24001181_0,12.76,6220,6237,CAV2,CAV2,3.88,0.00
6980.00,collision,23453287#8_0,35.20,6970,6750,CAV2,CAV2,3.87,0.00
7054.00,collision,-601761836_0,5.75,6982,6939,CAV2,CAV2,3.88,0.00
7148.00,collision,245232808#3_0,61.87,7134,6989,CAV2,CAV2,3.86,0.00
7170.00,collision,23453287#8_0,28.20,6874,6803,CAV2,CAV2,3.84,0.00
7237.00,collision,-23453287#1_0,44.60,6925,7088,CAV2,CAV2,3.80,0.00
7264.00,collision,42888553#4_0,95.43,7128,7108,CAV2,CAV2,3.82,0.00
7494.00,collision,-601761836_0,19.44,7393,7342,CAV2,CAV2,3.82,0.00
7676.00,junction,:2063729256_2_1,30.37,7614,7570,CAV2,CAV2,3.84,0.00
8046.00,collision,-23453287#1_0,44.51,7860,7925,CAV2,CAV2,3.83,0.00
8491.00,collision,245232797#2_0,63.73,8382,8337,CAV2,CAV2,3.82,0.00
8689.00,collision,42888553#4_0,95.42,8604,8608,CAV2,CAV2,3.80,0.00
8819.00,collision,476127076#2_0,116.39,8634,8590,CAV2,CAV2,3.83,0.00
9411.00,collision,184708616#1_0,2.61,9357,9312,CAV2,CAV2,3.82,0.00
10236.00,collision,23453287#8_0,28.19,9990,9940,CAV2,CAV2,3.88,0.00
