_time,_type,_lane,_pos,_collider,_victim,_colliderType,_victimType,_colliderSpeed,_victimSpeed
155.00,collision,-131838566#0_0,42.90,52,26,HDV,CAV2,1.23,0.00
353.00,collision,307192473#4_0,107.43,54,279,HDV,CAV2,3.43,0.00
415.00,collision,-95807620#0_0,18.91,294,398,HDV,HDV,0.42,0.00
513.00,collision,-896868665#4_0,61.71,260,440,HDV,CAV2,1.69,0.00
617.00,collision,42888553#4_0,64.12,394,424,HDV,CAV2,1.62,0.00
653.00,collision,95799600#10_0,5.42,586,536,HDV,CAV2,2.50,0.00
1130.00,collision,245232801_0,91.59,764,849,HDV,CAV2,3.97,0.00
1414.00,collision,52322185#7_0,1.48,1376,1358,HDV,HDV,2.72,0.00
1515.00,collision,307192473#4_0,107.41,1447,1449,HDV,CAV2,2.29,0.00
1554.00,collision,-8232907_0,9.57,1248,1395,HDV,CAV2,1.18,0.00
1803.00,collision,-476193290#0_1,34.55,1588,1652,CAV2,CAV2,3.87,0.00
2158.00,collision,-196190040#1_0,156.42,2044,2010,CAV4,HDV,4.24,0.01
2262.00,collision,803436833#16_0,8.75,2097,2221,HDV,CAV2,3.70,0.00
2275.00,collision,-8232907_0,9.57,2140,2123,HDV,CAV2,0.65,0.00
2328.00,collision,-131655247#0_0,5.35,2154,2124,HDV,HDV,4.50,0.00
2378.00,collision,95799600#10_0,5.42,2211,2255,HDV,CAV2,2.77,0.00
2743.00,collision,-95807620#0_0,18.91,2610,2583,HDV,CAV2,0.43,0.00
2997.00,collision,306865642#14_0,16.88,2899,2793,HDV,CAV2,4.32,0.00
3223.00,collision,23453287#8_0,5.96,2988,3002,HDV,CAV2,0.89,0.00
3399.00,collision,306596445#0_0,24.59,3367,3352,HDV,HDV,3.41,0.00
3579.00,collision,42888553#4_0,85.62,3261,3523,HDV,HDV,1.04,0.00
3624.00,collision,307192473#2_1,45.42,3284,3395,HDV,HDV,1.59,0.00
3673.00,collision,-131655426#1_0,6.89,3523,3504,HDV,CAV2,3.22,0.00
3734.00,collision,-131838565#0_0,62.39,3664,3697,HDV,CAV2,1.30,0.00
3748.00,collision,896868665#2_0,12.58,3706,3711,HDV,CAV2,4.21,0.00
3779.00,collision,95807619#13_0,38.32,3683,3460,CAV4,CAV2,5.24,0.00
3913.00,collision,95799600#9_0,4.04,3789,3851,HDV,CAV2,1.30,0.00
3992.00,collision,306865642#14_0,16.86,3797,3850,HDV,CAV4,1.72,0.00
4227.00,collision,-306596440#0_0,68.21,4019,4069,HDV,CAV2,2.53,0.00
4297.00,collision,-896868665#4_0,61.71,4176,4015,HDV,CAV2,2.36,0.00
4347.00,collision,-95807620#0_0,18.91,4255,4216,HDV,CAV2,0.79,0.00
4354.00,collision,-95807620#0_0,18.91,4295,4172,HDV,CAV2,1.20,0.00
4495.00,collision,-131655247#0_1,5.36,4324,4276,HDV,HDV,3.83,0.00
4671.00,collision,-131655247#0_1,5.34,4620,4456,HDV,CAV2,0.62,0.00
4686.00,collision,-476127076#1_0,11.63,4566,4554,HDV,CAV2,2.43,0.00
4694.00,collision,306865642#14_0,19.17,4548,4557,CAV2,CAV2,3.82,0.00
4829.00,collision,42888553#4_0,93.13,4695,4814,HDV,CAV2,1.60,0.00
4957.00,junction,:cluster_2928430822_4961394_4_0,5.19,4679,4781,CAV4,CAV2,5.24,0.00
5018.00,collision,42888553#4_1,93.12,4823,4819,HDV,HDV,2.46,0.00
5036.00,collision,42888553#4_0,64.42,4910,4886,HDV,CAV2,3.17,0.00
5038.00,collision,-23453287#11_0,28.12,4907,4950,HDV,CAV4,0.90,0.00
5064.00,collision,-338085757#1_0,217.63,5038,5006,CAV2,CAV2,3.84,0.00
5152.00,collision,306865642#12_0,30.08,5117,4903,HDV,CAV2,0.46,0.00
5194.00,collision,-23453287#11_0,22.02,5043,5035,HDV,CAV2,1.13,0.00
5277.00,collision,306865641#0_0,25.99,5082,5117,HDV,HDV,1.48,0.00
5389.00,collision,307192473#4_1,107.42,5226,5289,HDV,HDV,2.02,0.00
5667.00,collision,-131655426#2_0,59.08,5460,5450,CAV2,CAV2,3.88,0.00
5802.00,collision,24394255_0,1.62,5756,5694,HDV,CAV2,0.77,0.00
5855.00,collision,-476193290#0_1,22.26,5721,5662,CAV4,CAV2,0.48,0.00
6010.00,collision,-476127076#1_0,46.65,5911,5899,HDV,CAV2,4.28,0.00
6027.00,collision,42888553#4_1,86.12,5942,5918,HDV,CAV4,0.77,0.00
6142.00,collision,95799600#10_0,5.42,6048,6008,HDV,CAV4,2.83,0.00
6165.00,junction,:cluster_282498280_8131816891_5_0,0.74,5888,5890,CAV2,CAV2,3.83,0.00
6189.00,collision,-131838566#0_0,42.90,6031,5868,HDV,HDV,1.04,0.00
6213.00,collision,-476193290#0_1,32.25,6070,5948,HDV,CAV2,1.39,0.00
6289.00,collision,-896868665#4_0,57.00,6051,6034,CAV2,CAV2,3.83,0.00
6386.00,collision,-476193290#0_0,29.18,6169,6183,CAV2,CAV2,3.84,0.00
7163.00,collision,-23453287#11_0,28.12,7147,7088,HDV,HDV,0.99,0.00
7237.00,collision,803436833#15_0,4.88,7107,7140,HDV,HDV,2.29,0.00
7377.00,collision,23453287#8_0,26.01,7344,7105,HDV,CAV2,4.27,0.00
7500.00,collision,95807619#13_0,22.14,7335,7221,HDV,CAV2,2.58,0.00
7555.00,collision,42888553#4_0,72.13,7405,7285,HDV,CAV4,2.36,0.00
7806.00,collision,-306596440#0_0,60.71,7673,7697,HDV,HDV,3.73,0.00
7912.00,collision,23453287#8_0,15.96,7904,7653,HDV,CAV2,2.96,0.00
8014.00,collision,245232789#1_0,4.54,7963,7945,HDV,CAV2,0.67,0.00
8096.00,collision,-896868665#4_0,61.70,7791,7993,HDV,HDV,0.54,0.00
8106.00,collision,-338085757#1_0,222.86,8001,7930,CAV4,HDV,4.72,0.46
8191.00,collision,42888553#4_0,79.14,8076,8082,HDV,CAV2,4.38,0.00
8272.00,collision,42888553#4_0,51.94,8183,8159,HDV,CAV2,2.31,0.00
8538.00,collision,-131655247#0_1,5.35,8304,8453,HDV,HDV,3.09,0.00
8884.00,collision,307192473#4_0,101.65,8691,8809,HDV,CAV2,1.79,0.00
8966.00,collision,138505355_1,12.32,8928,8750,HDV,HDV,0.99,0.00
8996.00,collision,-896868665#4_0,61.70,8678,8852,HDV,CAV4,3.49,0.00
9081.00,collision,24001181_0,10.46,8877,8847,HDV,HDV,0.71,0.00
9253.00,collision,-202855821#0_0,32.17,9184,9167,HDV,HDV,3.08,0.00
9627.00,collision,42888553#4_1,93.12,9466,9341,HDV,HDV,3.81,0.00
9700.00,collision,307192473#4_0,107.41,9466,9623,HDV,CAV2,3.40,0.00
9781.00,collision,42888553#4_1,93.12,9635,9691,HDV,HDV,3.21,0.00
9841.00,collision,-601761836_0,19.44,9698,9804,CAV2,CAV2,3.81,0.00
9870.00,collision,42888553#4_0,93.14,9751,9585,HDV,CAV2,3.43,0.00
9894.00,collision,-202855820_0,12.36,9796,9765,CAV2,CAV2,3.87,0.00
10090.00,collision,-95807620#0_0,18.91,9982,9977,HDV,CAV2,0.91,0.00
