_time,_type,_lane,_pos,_collider,_victim,_colliderType,_victimType,_colliderSpeed,_victimSpeed
8248.00,junction,:1110397084_0_0,0.05,8136,8111,HDV,HDV,2.44,0.00
8340.00,collision,23453287#8_0,32.90,7867,7979,HDV,HDV,0.41,0.00
8533.00,collision,-196190040#1_0,147.05,8501,8426,HDV,HDV,1.12,0.00
8537.00,collision,245232801_0,84.07,8335,8273,HDV,HDV,2.31,0.00
8641.00,collision,-476193290#0_0,32.26,8433,8396,HDV,CAV2,3.22,0.00
8820.00,collision,-202855821#0_0,32.16,8713,8744,HDV,HDV,1.04,0.00
9162.00,collision,-896868665#4_0,61.71,8853,9065,HDV,HDV,1.52,0.00
9524.00,collision,-196190040#1_0,169.06,9441,9336,HDV,HDV,4.07,0.00
9533.00,collision,-476127076#1_0,23.93,9362,9258,HDV,HDV,3.53,0.00
9613.00,collision,-23453287#11_0,20.63,9546,9477,HDV,HDV,3.65,0.00
9619.00,collision,306865641#0_0,33.51,9520,9529,HDV,HDV,4.00,0.00
9780.00,collision,105412946#14_0,233.36,9739,9627,HDV,CAV2,2.52,0.00
9934.00,collision,95799600#10_0,5.41,9746,9839,HDV,CAV4,3.47,0.00
10093.00,collision,-338085757#1_0,214.05,9823,9928,HDV,HDV,1.62,0.00
