_time,_type,_lane,_pos,_collider,_victim,_colliderType,_victimType,_colliderSpeed,_victimSpeed
342.00,collision,-95807620#0_0,18.91,177,225,HDV,HDV,0.59,0.00
351.00,collision,23453287#8_0,18.40,279,22,HDV,CAV4,1.49,0.00
355.00,collision,-307192473#2_0,44.54,300,334,HDV,CAV2,0.86,0.00
459.00,junction,:245225002_2_1,3.25,315,316,HDV,CAV2,4.48,0.00
587.00,collision,-202855821#0_0,34.46,532,514,CAV2,CAV2,3.87,0.00
654.00,collision,-8232907_0,5.84,514,435,CAV2,CAV2,3.84,0.00
693.00,collision,23453287#8_0,13.26,583,393,HDV,CAV2,2.20,0.00
762.00,collision,-131838566#0_0,42.90,666,635,HDV,CAV2,0.99,0.00
1035.00,collision,95807619#13_0,29.65,913,844,HDV,CAV2,3.70,0.00
1048.00,collision,105412946#14_0,233.36,937,899,HDV,CAV2,2.79,0.00
1064.00,collision,42888553#4_1,86.12,1020,911,HDV,CAV2,0.90,0.00
1454.00,collision,-338085757#1_0,221.57,1328,1156,HDV,HDV,4.35,0.00
1560.00,collision,-338085757#1_0,221.56,1469,1471,HDV,HDV,3.69,0.00
1606.00,collision,-196190040#1_0,169.06,1492,1482,HDV,HDV,1.84,0.00
1705.00,collision,24001181_0,10.46,1387,1478,HDV,HDV,1.08,0.00
1711.00,collision,42888553#4_0,79.83,1535,1523,HDV,CAV2,2.40,0.00
1994.00,collision,-23453287#1_0,47.65,1964,1954,HDV,HDV,0.94,0.00
2063.00,collision,-196190040#1_0,163.68,1941,1947,HDV,CAV2,1.64,0.00
2140.00,collision,896868665#2_0,6.80,2075,2076,HDV,CAV2,0.95,0.00
2155.00,collision,-196190040#1_0,156.08,2044,2010,CAV4,HDV,4.28,0.28
2692.00,collision,42888553#4_1,87.47,2582,2526,HDV,CAV2,1.47,0.00
2700.00,collision,95807619#13_0,36.64,2586,2511,HDV,CAV2,2.94,0.00
2950.00,collision,-896868665#4_0,54.21,2737,2754,HDV,HDV,3.22,0.00
3043.00,collision,-202855821#0_0,32.16,2988,2964,HDV,CAV2,2.23,0.00
3223.00,collision,-196190040#1_0,169.05,3146,3157,HDV,CAV2,1.87,0.00
3399.00,collision,306596445#0_0,24.58,3367,3352,HDV,HDV,3.19,0.00
3401.00,collision,-131655426#1_0,12.43,3270,3067,HDV,CAV2,3.32,0.00
3586.00,collision,306865641#0_0,33.49,3412,3557,HDV,CAV2,1.93,0.00
3881.00,collision,803436833#16_0,8.76,3707,3684,HDV,HDV,1.58,0.00
4213.00,collision,307192473#4_1,107.41,3920,4012,HDV,HDV,0.67,0.00
4224.00,collision,38078663#2_1,98.97,4204,4138,HDV,CAV2,0.94,0.00
4746.00,collision,-131655426#1_0,12.42,4541,4686,HDV,HDV,0.66,0.00
4833.00,collision,24001181_0,10.46,4739,4627,HDV,CAV2,0.98,0.00
4970.00,collision,-131838565#0_0,61.09,4900,4896,HDV,CAV2,1.24,0.00
5116.00,collision,25670014_0,11.17,5061,4980,HDV,CAV2,0.86,0.00
5133.00,junction,:2063729256_2_1,28.07,4847,5107,HDV,CAV2,1.04,0.00
5220.00,collision,-476193290#0_1,34.56,5079,5000,CAV2,CAV2,3.83,0.00
