_time,_type,_lane,_pos,_collider,_victim,_colliderType,_victimType,_colliderSpeed,_victimSpeed
458.00,collision,23453287#8_0,30.95,411,207,CAV4,CAV4,4.92,0.00
483.00,junction,:1110397350_4_0,13.49,358,376,CAV2,CAV2,3.88,0.00
1465.00,collision,-601761836_0,19.43,1247,1344,CAV2,CAV2,3.86,0.00
1840.00,junction,:245225006_2_0,0.80,1785,1588,CAV4,CAV2,4.24,0.42
1982.00,collision,42888553#4_0,72.25,1826,1682,CAV2,CAV2,3.86,0.00
2021.00,collision,-23453287#1_0,31.03,1860,1814,CAV4,CAV4,5.93,0.00
2106.00,collision,95807619#13_0,33.08,1967,2021,CAV2,CAV2,3.86,0.00
2511.00,collision,-131655247#0_0,0.58,2211,2255,CAV2,CAV2,3.81,0.00
2802.00,collision,131655247#0_1,2.28,2603,2583,CAV4,CAV2,3.23,0.00
3265.00,collision,-601761836_0,13.22,3149,3109,CAV2,CAV2,3.85,0.00
3797.00,junction,:1110397350_4_0,13.49,3716,3737,CAV2,CAV2,3.87,0.00
4089.00,collision,-23453287#1_0,43.22,3909,3914,CAV2,CAV2,3.82,0.00
4119.00,collision,-476127076#1_0,20.35,3871,3914,CAV2,CAV2,2.88,0.00
4121.00,collision,23453287#8_0,21.20,3965,3907,CAV2,CAV2,3.85,0.00
4660.00,collision,23453287#8_0,28.20,4617,4430,CAV2,CAV2,3.86,0.00
4694.00,collision,306865642#14_0,19.17,4548,4557,CAV2,CAV2,3.82,0.00
4755.00,collision,-202855821#0_0,34.46,4648,4685,CAV2,CAV2,3.87,0.00
4913.00,collision,23453287#8_0,29.44,4661,4705,CAV2,CAV2,3.88,0.00
5061.00,collision,306865642#12_0,38.52,4835,4911,CAV2,CAV2,3.88,0.00
5281.00,collision,307192473#4_0,109.72,5101,5245,CAV2,CAV2,3.83,0.00
5461.00,collision,245232812_0,21.17,5258,5437,CAV2,CAV2,3.87,0.00
5794.00,collision,95799600#10_0,7.72,5695,5686,CAV2,CAV2,3.83,0.00
6186.00,collision,-601761836_0,12.28,6011,5925,CAV4,CAV2,3.27,0.00
6195.00,collision,306865642#12_0,37.74,5775,5897,CAV4,CAV2,5.47,0.00
6209.00,collision,-8232907_0,11.21,6057,5928,CAV4,CAV2,6.16,0.00
6234.00,collision,42888553#4_1,38.03,5978,5946,CAV4,CAV4,3.13,0.00
6241.00,collision,-476193290#1_0,16.20,5896,5899,CAV4,CAV2,5.27,0.15
6244.00,collision,42888553#4_1,8.52,6066,5960,CAV4,CAV2,5.83,0.00
6260.00,collision,-476193290#0_0,11.57,6069,6064,CAV4,CAV4,5.09,0.00
6329.00,collision,42888553#4_1,50.82,6162,6189,CAV4,CAV2,4.58,0.00
6360.00,collision,196190029_0,2.00,6164,6159,CAV4,CAV2,6.22,0.00
6387.00,collision,131881078#1_0,57.88,5896,6022,CAV4,CAV4,6.61,0.70
6403.00,collision,42888553#4_1,94.90,6235,6315,CAV4,CAV2,4.70,0.00
6493.00,collision,476127076#2_0,109.46,6322,6287,CAV4,CAV4,5.91,0.00
6827.00,collision,307192473#4_0,104.46,6679,6629,CAV2,CAV2,3.83,0.00
7025.00,collision,42888553#4_0,72.94,6874,6876,CAV2,CAV2,3.83,0.00
7730.00,collision,42888553#4_0,84.67,7558,7574,CAV2,CAV2,3.86,0.00
7918.00,collision,-23453287#11_0,24.78,7777,7785,CAV2,CAV2,3.83,0.00
9148.00,collision,23453287#8_0,28.20,9131,8968,CAV2,CAV2,3.82,0.00
9174.00,collision,306596445#0_0,15.30,8949,9139,CAV2,CAV2,3.81,0.00
9356.00,collision,-476193290#0_0,28.84,9171,9260,CAV2,CAV2,3.81,0.00
9359.00,collision,307192473#4_0,104.39,9136,9068,CAV2,CAV2,3.82,0.00
9842.00,collision,-601761836_0,19.44,9698,9804,CAV2,CAV2,3.81,0.00
