_time,_type,_lane,_pos,_collider,_victim,_colliderType,_victimType,_colliderSpeed,_victimSpeed
218.00,collision,803436833#16_0,11.05,126,160,CAV2,CAV2,3.88,0.00
483.00,junction,:1110397350_4_0,13.49,358,376,CAV2,CAV2,3.85,0.00
587.00,collision,-202855821#0_0,34.46,532,514,CAV2,CAV2,3.87,0.00
654.00,collision,-8232907_0,5.84,514,435,CAV2,CAV2,3.84,0.00
942.00,collision,-202855820_0,12.36,571,518,CAV2,CAV2,3.85,0.00
1112.00,collision,306865642#14_0,13.83,976,913,CAV2,CAV2,3.82,0.00
1137.00,collision,-202855820_0,12.37,1044,1004,CAV2,CAV2,3.83,0.00
1254.00,collision,-476193290#0_0,34.56,1130,1043,CAV2,CAV2,3.83,0.00
1478.00,collision,-601761836_0,1.95,1402,1368,CAV2,CAV2,3.88,0.00
1593.00,collision,42888553#4_0,95.42,1557,1571,CAV2,CAV2,3.84,0.00
1948.00,collision,23453287#8_0,28.88,1844,1657,CAV2,CAV2,3.85,0.00
2106.00,collision,95807619#13_0,33.08,1967,2021,CAV2,CAV2,3.86,0.00
2139.00,collision,42888553#4_0,90.11,2088,2029,CAV2,CAV2,3.87,0.00
2261.00,collision,95807619#13_0,38.93,2092,2226,CAV2,CAV2,3.85,0.00
2876.00,collision,42888553#4_0,82.68,2674,2761,CAV2,CAV2,3.87,0.00
3072.00,collision,245232808#3_0,55.49,2849,3052,CAV2,CAV2,3.85,0.00
3265.00,collision,-601761836_0,13.20,3149,3109,CAV2,CAV2,3.84,0.00
3594.00,collision,42888553#4_0,77.86,3525,3520,CAV2,CAV2,3.86,0.00
3649.00,collision,23453287#8_0,35.20,3405,3445,CAV2,CAV2,3.85,0.00
3797.00,junction,:1110397350_4_0,13.49,3716,3737,CAV2,CAV2,3.87,0.00
3858.00,collision,-131655426#1_0,3.45,3697,3668,CAV2,CAV2,3.81,0.00
3872.00,collision,42888553#4_0,84.72,3726,3652,CAV2,CAV2,3.87,0.00
4004.00,collision,95807619#13_0,32.98,3919,3818,CAV2,CAV2,3.84,0.00
4119.00,collision,-476127076#1_0,45.03,3914,3984,CAV2,CAV2,3.85,0.00
4333.00,collision,-95807620#0_0,7.90,4216,4201,CAV2,CAV2,3.83,0.00
4475.00,collision,-131655426#7_0,11.55,4266,4150,CAV2,CAV2,3.88,0.00
4491.00,collision,42888553#4_0,89.83,4326,4381,CAV2,CAV2,3.86,0.00
4571.00,collision,23453287#8_0,23.46,4310,4290,CAV2,CAV2,3.81,0.00
4637.00,collision,95799600#8_0,25.03,4572,4566,CAV2,CAV2,3.86,0.00
4694.00,collision,306865642#14_0,19.17,4548,4557,CAV2,CAV2,3.82,0.00
4755.00,collision,-202855821#0_0,34.46,4648,4685,CAV2,CAV2,3.87,0.00
4978.00,collision,95807619#13_0,22.56,4853,4911,CAV2,CAV2,3.80,0.00
5016.00,collision,245232799#1_0,13.60,4872,4868,CAV2,CAV2,3.85,0.00
5052.00,collision,23453287#7_0,16.81,5003,4708,CAV2,CAV2,3.87,0.00
5064.00,collision,-338085757#1_0,217.63,5038,5006,CAV2,CAV2,3.84,0.00
5298.00,collision,42888553#4_0,88.77,5123,5064,CAV2,CAV2,3.85,0.00
5304.00,collision,42888553#4_0,88.76,5086,5064,CAV2,CAV2,3.87,0.00
5461.00,collision,245232812_0,21.17,5258,5437,CAV2,CAV2,3.87,0.00
5554.00,collision,42888553#4_0,90.03,5350,5521,CAV2,CAV2,3.81,0.00
5568.00,collision,42888553#4_0,78.73,5419,5491,CAV2,CAV2,3.80,0.00
5939.00,collision,23453287#8_0,11.67,5738,5623,CAV2,CAV2,3.84,0.00
6419.00,collision,-601761836_0,8.27,6319,6303,CAV2,CAV2,3.81,0.00
6467.00,collision,307192473#4_0,109.71,6315,6374,CAV2,CAV2,3.86,0.00
6563.00,collision,-202855820_0,12.36,6455,6459,CAV2,CAV2,3.88,0.00
6744.00,collision,23453287#8_0,22.90,6618,6459,CAV2,CAV2,3.85,0.00
6991.00,collision,-23453287#11_0,19.15,6891,6842,CAV2,CAV2,3.88,0.00
7128.00,collision,896868665#5_0,22.07,7056,7007,CAV2,CAV2,3.86,0.00
7547.00,collision,-896868665#4_0,57.59,7451,7324,CAV2,CAV2,3.85,0.00
7560.00,collision,-196190040#1_0,160.39,7461,7474,CAV2,CAV2,3.88,0.00
